Strength Winning Deck,Strong Cards Power Winning Deck,Strongest Cards Power Winning Deck,Amount of Strong Cards Winning Deck,Amount of Strongest Cards Winning Deck,Count of plays
214,155,111,14,9,502
218,170,116,15,9,147
224,180,98,17,8,304
209,152,87,14,7,430
224,167,115,15,9,160
205,147,103,13,8,128
193,135,100,12,8,397
232,189,115,17,9,87
200,144,72,14,6,276
201,146,100,13,8,802
202,137,92,12,7,115
214,154,98,14,8,377
220,184,103,17,8,226
231,190,126,17,10,180
193,134,62,13,5,245
205,160,88,15,7,213
216,163,126,14,10,190
223,179,127,16,10,152
210,155,111,14,9,262
214,160,115,14,9,374
199,141,86,13,7,210
222,173,102,16,8,394
196,138,88,13,7,323
225,171,126,15,10,253
222,172,127,15,10,79
202,143,89,13,7,94
214,164,102,15,8,217
200,143,98,13,8,409
215,164,89,15,7,110
201,150,87,14,7,177
206,150,113,13,9,300
219,174,102,16,8,418
209,148,103,13,8,189
229,192,138,17,11,104
199,146,103,13,8,64
198,147,101,13,8,185
205,154,100,14,8,677
211,158,77,15,6,284
196,149,88,14,7,511
214,161,88,15,7,505
199,144,89,13,7,134
226,188,124,17,10,139
208,157,98,15,8,523
205,150,106,13,8,143
206,154,85,15,7,297
201,135,89,12,7,132
204,143,87,13,7,497
220,175,114,16,9,85
198,136,100,12,8,532
193,132,88,12,7,857
214,167,123,15,10,255
196,135,99,12,8,286
199,133,98,12,8,191
209,161,115,14,9,78
229,197,126,18,10,233
197,128,102,11,8,265
192,131,77,12,6,199
215,152,114,13,9,69
204,144,89,13,7,206
216,166,123,15,10,80
201,140,87,13,7,401
202,143,98,13,8,269
197,148,74,14,6,270
222,171,127,15,10,340
207,149,104,13,8,100
206,143,78,13,6,146
211,158,123,14,10,352
232,181,114,16,9,397
198,139,111,12,9,354
229,176,113,16,9,143
179,112,77,10,6,151
189,128,72,12,6,289
200,132,115,11,9,66
229,188,126,17,10,48
200,139,84,13,7,208
212,162,100,15,8,210
228,186,141,16,11,103
241,203,138,18,11,161
200,147,77,14,6,584
231,186,125,17,10,173
206,159,97,15,8,533
221,176,111,16,9,342
175,108,73,10,6,380
232,212,149,19,12,49
208,148,112,13,9,109
214,163,110,15,9,268
206,158,102,14,8,206
215,161,114,14,9,134
224,178,115,16,9,238
243,198,161,17,13,129
217,159,103,14,8,252
187,129,87,12,7,515
219,171,127,15,10,514
215,168,102,15,8,72
214,166,112,15,9,284
222,174,112,16,9,343
208,150,87,14,7,319
214,157,104,14,8,224
200,139,112,12,9,334
253,209,162,18,13,212
202,148,112,13,9,237
229,166,128,14,10,70
198,146,73,14,6,216
196,133,87,12,7,182
216,169,98,16,8,191
208,149,112,13,9,389
219,176,113,16,9,103
207,152,88,14,7,563
225,162,124,14,10,97
214,162,98,15,8,334
205,145,100,13,8,219
214,174,111,16,9,289
188,125,65,12,5,154
195,127,99,11,8,149
216,166,112,15,9,360
196,126,89,11,7,236
222,180,136,16,11,465
232,195,112,18,9,818
205,149,86,14,7,627
205,154,127,13,10,587
222,165,100,15,8,1005
207,144,87,13,7,183
202,158,87,15,7,184
215,166,102,15,8,174
202,145,100,13,8,286
234,192,136,17,11,220
207,149,86,14,7,309
182,105,51,10,4,530
201,140,87,13,7,594
201,148,101,13,8,328
217,172,127,15,10,488
186,122,89,11,7,129
185,131,87,12,7,256
215,159,112,14,9,542
230,184,129,16,10,81
211,164,102,15,8,130
225,177,125,16,10,154
211,164,129,14,10,66
193,139,76,13,6,118
212,161,88,15,7,258
207,146,90,13,7,104
216,163,126,14,10,457
195,132,88,12,7,245
180,115,82,11,7,336
220,162,99,15,8,699
225,182,140,16,11,114
194,132,76,12,6,506
218,167,116,15,9,97
210,157,114,14,9,108
221,166,102,15,8,131
216,160,116,14,9,66
222,169,122,15,10,190
213,150,104,13,8,105
214,165,102,15,8,205
195,132,96,12,8,314
216,173,111,16,9,736
220,165,100,15,8,471
229,185,112,17,9,232
212,157,113,14,9,89
206,160,124,14,10,224
198,121,86,11,7,305
198,132,97,12,8,697
209,157,112,14,9,486
221,179,100,17,8,291
196,138,82,12,6,78
208,148,110,13,9,261
221,168,140,14,11,209
209,156,103,14,8,277
212,157,78,15,6,118
212,154,89,14,7,768
218,164,138,14,11,216
217,158,123,14,10,229
230,190,127,17,10,75
205,160,90,15,7,765
198,136,80,12,6,211
210,160,104,14,8,91
193,131,88,12,7,438
199,132,85,12,7,243
208,155,98,14,8,280
192,129,77,12,6,673
225,159,113,14,9,288
218,162,88,15,7,662
227,168,116,15,9,61
211,165,101,15,8,233
214,158,114,14,9,155
225,186,140,16,11,55
213,146,91,13,7,121
230,179,126,16,10,131
221,167,140,14,11,70
197,134,91,12,7,108
218,168,123,15,10,118
211,155,100,14,8,285
190,127,98,11,8,298
237,202,140,18,11,258
213,171,99,16,8,262
200,143,91,13,7,126
195,139,66,13,5,173
206,148,103,13,8,75
204,158,80,15,6,106
197,149,75,14,6,365
206,144,98,13,8,142
217,172,99,16,8,233
197,134,60,13,5,525
222,164,127,14,10,95
224,181,125,16,10,108
212,156,101,14,8,344
209,146,108,13,9,380
228,188,142,16,11,59
228,188,124,17,10,208
214,152,90,14,7,153
213,167,105,15,8,79
210,169,99,16,8,437
215,157,111,14,9,334
225,183,128,16,10,572
227,180,137,16,11,181
217,154,90,14,7,357
196,143,65,14,5,446
191,129,76,12,6,384
215,154,101,14,8,92
207,154,100,14,8,947
209,157,103,14,8,102
213,155,102,14,8,302
207,157,111,14,9,379
227,180,124,16,10,251
229,187,115,17,9,150
212,163,126,14,10,225
224,168,114,15,9,109
191,131,76,12,6,272
204,133,98,12,8,315
192,144,62,14,5,235
205,140,115,12,9,64
206,150,76,14,6,317
185,124,89,11,7,126
207,136,99,12,8,597
217,176,113,16,9,224
237,190,152,16,12,118
225,167,114,15,9,270
207,158,114,14,9,92
212,157,103,14,8,176
195,134,88,12,7,254
227,189,117,17,9,126
202,152,100,14,8,375
225,190,135,17,11,364
204,170,99,16,8,238
211,165,102,15,8,118
211,159,88,15,7,234
221,183,103,17,8,103
212,153,128,13,10,144
178,119,75,11,6,387
207,152,115,13,9,140
195,128,95,12,8,874
215,169,87,16,7,384
216,147,101,13,8,149
205,143,115,12,9,99
230,171,116,15,9,460
215,170,100,16,8,221
211,143,114,12,9,176
210,161,99,15,8,290
217,182,101,17,8,197
199,143,89,13,7,215
208,139,87,13,7,428
235,189,153,16,12,59
226,176,114,16,9,527
210,156,101,14,8,341
198,130,77,12,6,119
210,162,100,15,8,759
206,147,76,14,6,283
224,179,115,16,9,116
231,185,140,16,11,148
235,196,142,17,11,63
225,172,91,16,7,98
219,163,100,15,8,394
203,137,100,12,8,883
219,175,104,16,8,84
202,145,98,13,8,242
195,140,96,13,8,194
213,169,112,15,9,129
199,154,82,15,7,436
206,156,102,14,8,295
195,136,67,13,5,371
225,173,138,15,11,306
214,155,99,14,8,831
215,146,89,13,7,236
221,179,115,16,9,172
194,127,63,12,5,400
219,167,130,14,10,104
217,164,127,14,10,60
207,155,101,14,8,131
208,154,92,14,7,199
210,150,97,14,8,256
211,161,89,15,7,106
212,166,113,15,9,300
213,158,103,14,8,239
214,159,88,15,7,277
209,163,90,15,7,174
215,171,116,15,9,856
207,141,104,12,8,152
244,203,150,18,12,203
221,176,112,16,9,150
214,168,123,15,10,873
220,172,99,16,8,541
223,184,109,17,9,282
216,171,127,15,10,156
196,148,83,14,7,316
204,147,122,13,10,494
228,171,126,15,10,133
226,167,131,14,10,72
202,141,114,12,9,407
223,179,117,16,9,176
220,192,112,18,9,102
209,165,102,15,8,366
214,167,113,15,9,73
227,188,128,17,10,89
201,137,111,12,9,162
205,145,103,13,8,207
224,177,114,16,9,147
214,169,115,15,9,44
224,175,113,16,9,188
239,198,127,18,10,183
244,205,140,18,11,59
213,160,150,13,12,152
205,147,102,13,8,135
211,154,99,14,8,182
244,196,152,17,12,112
220,177,136,16,11,82
221,155,118,13,9,44
221,171,100,16,8,163
214,167,114,15,9,159
205,150,78,14,6,610
187,133,87,12,7,193
226,186,113,17,9,839
198,129,85,12,7,238
201,139,76,13,6,317
211,160,89,15,7,804
227,184,139,16,11,92
203,161,101,15,8,496
206,152,114,13,9,380
201,142,86,13,7,384
215,169,89,16,7,179
246,218,163,19,13,57
207,151,97,14,8,233
216,169,116,15,9,71
206,142,79,13,6,172
221,171,153,14,12,89
224,159,103,14,8,150
224,180,115,16,9,348
216,166,87,16,7,164
202,142,77,13,6,146
218,179,117,16,9,82
208,161,79,15,6,561
222,162,127,14,10,105
231,198,136,18,11,180
238,198,124,18,10,668
201,148,86,14,7,458
201,155,113,14,9,178
208,158,114,14,9,137
185,122,77,11,6,125
213,170,115,15,9,76
197,134,98,12,8,364
197,129,101,11,8,158
221,168,122,15,10,253
232,183,140,16,11,50
206,148,101,13,8,434
215,174,101,16,8,181
221,169,123,15,10,147
200,141,80,13,6,166
194,128,101,11,8,104
198,148,101,13,8,320
237,198,162,17,13,217
197,134,89,12,7,195
207,144,103,13,8,410
206,154,100,14,8,311
234,198,137,18,11,197
232,182,128,16,10,121
211,158,104,14,8,222
218,176,114,16,9,127
215,157,102,14,8,219
230,178,151,15,12,86
201,154,99,14,8,135
199,135,99,12,8,939
200,131,103,11,8,262
217,164,100,15,8,361
197,136,72,13,6,256
230,179,123,16,10,130
220,168,140,14,11,52
226,195,113,18,9,377
207,162,100,15,8,87
209,153,100,14,8,208
200,146,112,13,9,222
220,171,127,15,10,107
206,152,88,14,7,210
185,128,63,12,5,197
226,170,105,15,8,138
211,163,126,14,10,80
205,153,98,14,8,197
217,164,113,15,9,923
201,140,115,12,9,182
229,188,125,17,10,235
209,157,112,14,9,330
203,154,90,14,7,438
186,113,78,10,6,189
240,202,111,19,9,198
223,170,136,15,11,154
212,158,104,14,8,105
231,189,136,17,11,45
231,192,137,17,11,158
204,138,86,13,7,507
220,173,110,16,9,210
212,144,90,13,7,709
229,176,112,16,9,671
222,184,122,17,10,329
196,132,87,12,7,363
218,157,111,14,9,254
202,139,74,13,6,1133
202,149,114,13,9,103
221,171,99,16,8,118
191,122,79,11,6,275
212,153,98,14,8,167
216,182,111,17,9,190
193,127,66,12,5,235
215,155,100,14,8,129
225,179,115,16,9,222
205,142,88,13,7,274
228,182,138,16,11,50
201,127,89,11,7,478
218,166,147,14,12,1083
205,149,102,13,8,212
213,157,112,14,9,117
215,166,103,15,8,298
225,171,98,16,8,444
203,151,96,14,8,354
230,181,127,16,10,71
216,175,113,16,9,946
225,164,116,14,9,75
213,163,119,14,9,54
208,141,114,12,9,131
206,161,88,15,7,453
201,136,91,12,7,123
243,205,160,18,13,104
218,159,114,14,9,87
212,156,101,14,8,175
194,140,96,13,8,200
236,188,151,16,12,142
179,119,65,11,5,259
216,163,126,14,10,66
193,141,87,13,7,171
218,169,98,16,8,232
223,189,99,18,8,324
208,143,90,13,7,341
222,175,140,15,11,108
204,156,85,15,7,331
231,188,124,17,10,553
219,169,91,16,7,201
204,146,92,13,7,72
202,150,76,14,6,794
212,172,99,16,8,126
191,132,89,12,7,167
222,174,129,15,10,413
196,147,103,13,8,157
208,143,116,12,9,163
201,146,102,13,8,392
227,192,140,17,11,74
189,133,52,13,4,223
207,156,101,14,8,162
202,158,75,15,6,498
211,153,91,14,7,158
215,172,126,15,10,127
203,149,76,14,6,452
230,184,128,16,10,111
208,167,86,16,7,274
215,168,113,15,9,592
213,161,126,14,10,173
219,156,102,14,8,244
237,195,128,17,10,702
223,164,110,15,9,298
204,139,102,12,8,237
208,150,103,13,8,81
228,194,138,17,11,97
218,168,123,15,10,532
181,110,66,10,5,257
204,158,97,15,8,129
218,173,102,16,8,114
210,144,101,13,8,221
218,176,104,16,8,139
204,154,100,14,8,585
206,152,100,14,8,253
211,150,116,13,9,66
208,143,62,14,5,524
222,185,113,17,9,119
218,153,106,13,8,97
209,154,116,13,9,134
213,160,97,15,8,856
216,169,114,15,9,204
226,179,125,16,10,144
196,139,77,13,6,150
222,187,122,17,10,312
230,192,139,17,11,151
227,178,116,16,9,121
201,129,75,12,6,322
230,185,140,16,11,104
232,192,112,18,9,180
212,163,101,15,8,904
207,156,102,14,8,120
236,209,137,19,11,420
207,162,100,15,8,304
197,140,85,13,7,299
203,137,100,12,8,280
202,143,88,13,7,444
230,176,111,16,9,519
187,124,63,12,5,787
200,144,90,13,7,113
222,182,128,16,10,85
219,180,126,16,10,272
204,164,101,15,8,442
215,170,125,15,10,143
200,133,89,12,7,322
206,156,113,14,9,121
211,151,76,14,6,177
195,135,90,12,7,233
214,178,89,17,7,152
202,157,75,15,6,389
211,160,104,14,8,259
203,159,87,15,7,241
226,173,136,15,11,332
199,136,102,12,8,91
229,171,127,15,10,72
215,160,113,14,9,87
215,156,111,14,9,162
226,182,148,16,12,264
206,151,125,13,10,307
227,178,116,16,9,70
226,169,115,15,9,181
210,158,122,14,10,291
190,128,75,12,6,250
216,159,114,14,9,266
204,160,99,15,8,962
194,141,98,13,8,548
199,139,76,13,6,348
216,172,101,16,8,292
194,129,73,12,6,239
235,184,129,16,10,59
237,193,139,17,11,94
202,141,78,13,6,601
213,157,103,14,8,262
222,184,113,17,9,169
239,184,130,16,10,91
203,148,88,14,7,641
207,152,88,14,7,513
206,139,110,12,9,288
204,153,91,14,7,90
221,180,115,16,9,84
208,167,112,15,9,195
207,156,103,14,8,239
204,140,85,13,7,428
230,186,123,17,10,470
233,186,139,16,11,102
200,141,88,13,7,107
229,197,154,17,12,44
218,174,103,16,8,106
203,143,77,13,6,174
213,166,112,15,9,190
238,196,140,17,11,84
217,171,127,15,10,287
199,137,92,12,7,335
206,161,88,15,7,171
196,129,112,11,9,181
237,201,136,18,11,742
215,164,112,15,9,206
217,171,101,16,8,399
194,124,77,11,6,138
228,180,118,16,9,91
212,159,126,14,10,204
221,181,125,16,10,137
210,167,86,16,7,357
231,184,138,16,11,83
211,143,98,13,8,603
216,147,102,13,8,308
190,128,73,12,6,546
208,155,110,14,9,118
223,174,101,16,8,400
192,126,75,12,6,161
216,163,125,14,10,242
214,164,102,15,8,212
207,150,124,13,10,532
208,147,76,14,6,679
197,135,72,13,6,844
220,173,126,15,10,104
209,154,100,14,8,325
194,132,103,11,8,190
199,150,88,14,7,178
206,148,101,13,8,286
218,173,99,16,8,208
235,189,126,17,10,258
207,154,88,14,7,302
204,155,112,14,9,324
209,156,111,14,9,218
205,158,86,15,7,346
207,160,98,15,8,416
209,163,100,15,8,168
226,180,115,16,9,88
203,143,97,13,8,161
220,170,114,15,9,233
223,189,116,17,9,105
214,158,111,14,9,285
207,159,113,14,9,253
191,138,95,13,8,376
246,219,137,20,11,51
217,166,111,15,9,214
209,157,123,14,10,417
228,167,139,14,11,69
209,164,100,15,8,187
216,162,127,14,10,220
209,158,124,14,10,151
239,198,128,18,10,85
219,155,111,14,9,416
224,189,135,17,11,334
205,160,89,15,7,567
226,185,102,17,8,209
196,132,88,12,7,115
222,168,115,15,9,170
204,154,97,14,8,176
210,145,102,13,8,219
222,175,129,15,10,396
196,139,85,13,7,660
208,163,110,15,9,262
196,128,91,11,7,120
209,158,86,15,7,177
208,156,112,14,9,144
234,176,137,15,11,119
221,169,95,15,7,76
205,151,113,13,9,339
207,161,117,14,9,115
218,172,126,15,10,314
203,142,77,13,6,328
201,140,87,13,7,730
199,141,87,13,7,167
249,208,160,18,13,209
242,206,164,18,13,139
187,114,87,10,7,514
220,163,114,14,9,254
202,158,104,14,8,318
224,180,137,16,11,94
234,189,137,17,11,531
198,139,113,12,9,384
213,165,91,15,7,172
217,172,102,16,8,506
232,194,139,17,11,72
210,141,87,13,7,119
221,185,124,17,10,315
202,141,89,13,7,356
219,169,116,15,9,213
205,148,85,14,7,153
221,170,123,15,10,158
223,174,101,16,8,419
211,139,101,12,8,801
208,165,101,15,8,106
240,200,136,18,11,51
217,164,102,15,8,149
216,161,115,14,9,312
213,158,122,14,10,161
211,157,112,14,9,283
233,190,126,17,10,524
201,142,112,12,9,556
241,210,138,19,11,105
197,131,75,12,6,253
196,141,88,13,7,309
206,149,86,14,7,376
220,168,114,15,9,105
226,179,134,16,11,596
221,170,125,15,10,454
235,195,141,17,11,300
213,160,113,14,9,557
207,147,93,13,7,359
192,139,77,13,6,189
211,162,89,15,7,185
198,137,72,13,6,919
203,154,102,14,8,381
196,142,87,13,7,733
235,207,162,18,13,49
201,151,107,14,9,141
213,165,111,15,9,145
219,165,101,15,8,305
197,132,78,12,6,120
235,190,125,17,10,109
208,144,98,13,8,366
219,174,138,15,11,198
207,144,90,13,7,221
222,180,127,16,10,149
209,138,100,12,8,332
221,174,139,15,11,58
191,132,88,12,7,319
210,161,105,14,8,96
209,159,98,15,8,638
214,168,87,16,7,588
225,171,126,15,10,471
207,150,86,14,7,406
220,180,107,16,8,101
212,154,102,14,8,118
195,135,74,13,6,682
191,129,76,12,6,129
214,162,116,14,9,412
193,127,74,12,6,334
202,125,88,11,7,325
198,135,110,12,9,505
212,168,96,16,8,280
237,192,138,17,11,99
220,172,99,16,8,367
189,114,53,11,4,297
206,163,88,15,7,198
201,143,100,13,8,175
194,125,88,11,7,142
215,167,104,15,8,81
228,179,134,16,11,54
201,148,113,13,9,316
219,169,118,15,9,76
181,120,84,11,7,188
187,139,86,13,7,272
204,142,89,13,7,302
201,139,87,13,7,239
223,167,104,15,8,125
216,162,110,15,9,342
219,159,103,14,8,186
224,173,100,16,8,233
190,121,76,11,6,79
192,132,104,11,8,72
219,159,125,14,10,241
207,149,88,14,7,425
227,172,124,15,10,227
201,148,87,14,7,897
218,160,140,13,11,310
218,172,127,15,10,293
218,184,113,17,9,230
202,138,101,12,8,496
216,159,123,14,10,551
212,154,91,14,7,179
194,132,88,12,7,328
216,167,101,15,8,138
222,164,127,14,10,333
201,143,88,13,7,263
205,152,125,13,10,159
199,143,115,12,9,104
219,173,104,16,8,421
198,143,78,13,6,158
214,157,111,14,9,64
192,137,100,12,8,687
192,140,87,13,7,330
196,139,103,12,8,89
216,174,140,15,11,91
211,164,126,14,10,353
235,191,127,17,10,65
203,139,101,12,8,227
218,177,113,16,9,102
197,143,99,13,8,130
222,173,127,15,10,122
178,102,74,9,6,810
214,156,102,14,8,442
236,191,136,17,11,245
181,117,83,11,7,405
190,124,88,11,7,332
187,124,87,11,7,164
199,134,100,12,8,219
194,130,77,12,6,184
222,164,99,15,8,186
198,152,63,15,5,319
201,145,63,14,5,326
222,176,140,15,11,367
195,142,88,13,7,192
219,187,125,17,10,175
220,175,101,16,8,181
207,157,111,14,9,248
